GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - 12:00 a.m. to 4:59 a.m.,Estimate; Total: - 5:00 a.m. to 5:29 a.m.,Estimate; Total: - 5:30 a.m. to 5:59 a.m.,Estimate; Total: - 6:00 a.m. to 6:29 a.m.,Estimate; Total: - 6:30 a.m. to 6:59 a.m.,Estimate; Total: - 7:00 a.m. to 7:29 a.m.,Estimate; Total: - 7:30 a.m. to 7:59 a.m.,Estimate; Total: - 8:00 a.m. to 8:29 a.m.,Estimate; Total: - 8:30 a.m. to 8:59 a.m.,Estimate; Total: - 9:00 a.m. to 9:59 a.m.,Estimate; Total: - 10:00 a.m. to 10:59 a.m.,Estimate; Total: - 11:00 a.m. to 11:59 a.m.,Estimate; Total: - 12:00 p.m. to 3:59 p.m.,Estimate; Total: - 4:00 p.m. to 11:59 p.m.
8600000US01040,01040,ZCTA5 01040,15557,317,552,623,996,1775,1887,2089,2002,1073,896,476,189,1484,1198
8600000US01050,01050,ZCTA5 01050,1205,69,79,87,121,90,195,111,135,62,56,43,24,60,73
8600000US01053,01053,ZCTA5 01053,654,0,6,0,66,58,57,116,49,117,76,47,0,21,41
8600000US01054,01054,ZCTA5 01054,873,25,15,29,45,69,121,147,109,67,121,24,20,63,18
8600000US01056,01056,ZCTA5 01056,10083,501,432,320,987,1154,1388,1471,972,503,641,191,178,606,739
8600000US01057,01057,ZCTA5 01057,4588,183,174,334,528,329,838,727,544,123,131,31,19,369,258
8600000US01060,01060,ZCTA5 01060,7454,64,77,126,329,395,690,896,1072,1133,776,352,126,896,522
8600000US01062,01062,ZCTA5 01062,4629,119,140,117,233,443,683,754,738,393,261,195,134,230,189
8600000US01063,01063,ZCTA5 01063,265,0,0,0,0,0,0,0,24,8,13,2,21,108,89
8600000US01066,01066,ZCTA5 01066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US01068,01068,ZCTA5 01068,976,17,39,34,116,193,125,131,73,18,43,17,6,100,64
8600000US01069,01069,ZCTA5 01069,4380,137,173,199,551,376,1005,459,486,256,108,53,52,356,169
8600000US01070,01070,ZCTA5 01070,314,11,25,11,29,36,36,45,42,13,33,1,5,11,16
8600000US01071,01071,ZCTA5 01071,584,6,40,23,111,36,124,50,31,39,14,17,0,42,51
8600000US01072,01072,ZCTA5 01072,719,6,10,20,39,71,89,93,101,80,66,44,13,51,36
8600000US01073,01073,ZCTA5 01073,2916,82,94,138,162,311,646,490,313,113,144,82,15,97,229
8600000US01074,01074,ZCTA5 01074,295,42,0,0,68,52,0,0,0,39,0,0,0,94,0
8600000US01075,01075,ZCTA5 01075,8731,218,141,189,640,562,1160,1570,1186,519,686,134,153,868,705
8600000US01077,01077,ZCTA5 01077,4664,83,374,136,573,518,848,548,380,266,328,91,10,305,204
8600000US01079,01079,ZCTA5 01079,200,0,0,0,10,0,0,9,78,0,0,0,50,15,38
8600000US01080,01080,ZCTA5 01080,921,67,49,32,114,23,202,152,36,0,7,0,27,114,98
8600000US01081,01081,ZCTA5 01081,773,48,43,39,118,145,105,65,42,48,30,13,9,49,19
8600000US01082,01082,ZCTA5 01082,5027,218,219,104,567,570,597,903,633,101,265,44,26,458,322
8600000US01083,01083,ZCTA5 01083,1485,32,65,44,213,190,343,187,118,109,13,21,0,140,10
8600000US01084,01084,ZCTA5 01084,90,0,4,7,3,8,17,16,13,3,14,0,0,2,3
8600000US01085,01085,ZCTA5 01085,20057,734,663,1019,1705,2436,2514,2246,2018,1013,1427,331,237,1730,1984
8600000US01086,01086,ZCTA5 01086,119,7,0,0,7,0,7,16,7,7,0,0,0,37,31
8600000US01088,01088,ZCTA5 01088,199,0,11,0,31,0,17,29,9,28,26,0,6,29,13
8600000US01089,01089,ZCTA5 01089,13648,666,533,659,1003,1587,1477,1778,1670,850,780,442,173,1016,1014
8600000US01092,01092,ZCTA5 01092,504,38,11,36,36,87,120,122,53,0,0,0,0,1,0
8600000US01093,01093,ZCTA5 01093,199,10,3,3,10,16,33,27,45,19,14,10,3,3,3
8600000US01094,01094,ZCTA5 01094,111,0,14,18,34,0,30,0,0,0,0,0,0,15,0
8600000US01095,01095,ZCTA5 01095,7112,156,107,204,526,866,1266,923,897,418,261,225,144,525,594
8600000US01096,01096,ZCTA5 01096,1342,77,52,81,168,126,211,148,185,61,71,15,21,75,51
8600000US01097,01097,ZCTA5 01097,11,4,0,0,0,4,0,3,0,0,0,0,0,0,0
8600000US01098,01098,ZCTA5 01098,661,12,38,47,107,60,135,75,50,45,14,6,13,41,18
8600000US01103,01103,ZCTA5 01103,861,52,11,12,48,84,105,185,100,73,9,0,41,74,67
8600000US01104,01104,ZCTA5 01104,8829,583,303,615,707,831,714,1350,844,459,440,368,79,826,710
8600000US01105,01105,ZCTA5 01105,3320,128,44,227,240,395,304,193,347,248,158,150,12,443,431
8600000US01106,01106,ZCTA5 01106,7003,117,79,243,435,904,964,888,1350,828,393,227,55,365,155
8600000US01107,01107,ZCTA5 01107,3467,249,111,98,454,203,428,266,451,177,191,29,23,510,277
8600000US01108,01108,ZCTA5 01108,11186,642,525,614,805,1078,1259,1139,890,607,671,179,426,1615,736
8600000US01109,01109,ZCTA5 01109,10497,597,176,481,1046,881,904,1101,1345,506,356,152,189,1452,1311
8600000US01118,01118,ZCTA5 01118,6921,213,71,152,602,706,897,1085,876,565,230,134,95,643,652
8600000US01119,01119,ZCTA5 01119,5505,192,279,148,533,718,510,463,588,210,171,203,49,742,699
8600000US01128,01128,ZCTA5 01128,1425,90,40,0,98,230,246,166,90,70,107,20,52,131,85
8600000US01129,01129,ZCTA5 01129,3461,115,91,112,278,288,576,422,391,181,255,142,0,379,231
8600000US01151,01151,ZCTA5 01151,3590,177,80,137,289,327,425,354,269,204,256,159,46,610,257
8600000US01199,01199,ZCTA5 01199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US01201,01201,ZCTA5 01201,21336,466,295,779,1114,2215,2716,2731,2895,1603,1601,740,235,2275,1671
8600000US01220,01220,ZCTA5 01220,3975,66,125,231,465,263,768,523,543,171,178,99,121,224,198
8600000US01222,01222,ZCTA5 01222,425,8,0,69,45,43,10,111,49,8,48,0,0,16,18
8600000US01223,01223,ZCTA5 01223,1189,47,42,109,148,102,112,196,147,20,54,29,8,98,77
8600000US01224,01224,ZCTA5 01224,111,0,8,0,10,0,34,39,0,20,0,0,0,0,0
8600000US01225,01225,ZCTA5 01225,1501,112,54,64,128,120,324,162,173,27,95,0,0,122,120
8600000US01226,01226,ZCTA5 01226,3150,163,66,154,272,370,380,565,296,190,182,124,43,164,181
8600000US01229,01229,ZCTA5 01229,19,0,0,0,0,6,0,0,0,5,0,0,8,0,0
8600000US01230,01230,ZCTA5 01230,3919,99,70,79,130,189,499,579,442,327,568,419,42,332,144
8600000US01235,01235,ZCTA5 01235,1432,59,28,94,161,154,226,202,140,61,55,49,15,75,113
8600000US01236,01236,ZCTA5 01236,537,0,3,2,22,37,38,86,44,45,75,22,43,118,2
8600000US01237,01237,ZCTA5 01237,1352,26,106,25,106,241,264,156,84,62,75,33,1,132,41
8600000US01238,01238,ZCTA5 01238,2704,14,24,48,158,216,259,656,272,169,307,75,49,239,218
8600000US01240,01240,ZCTA5 01240,1618,14,0,43,90,123,75,307,276,273,138,62,41,59,117
